proxy,run_id,workload,resource_profile,duration_s,connections,threads,keepalive,rps,avg_latency_ms,stdev_latency_ms,max_latency_ms,p50_ms,p75_ms,p90_ms,p99_ms,total_requests,total_bytes,transfer_kb_s,avg_rps_thread,stdev_rps_thread,errors,peak_cpu_pct,avg_cpu_pct,peak_mem_mib,avg_mem_mib
envoy(v1.32.2),churn_baseline_short_1x,churn,baseline,30,100,4,false,897.57,110.91,25.05,270.71,112.56,117.75,126.93,194.09,27004,11660165,378.52,225.63,29.54,0,41.96,40.31,169.70,169.52
envoy(v1.32.2),churn_cpu-limited_short_1x,churn,cpu-limited,30,100,4,false,941.71,105.72,17.88,216.61,102.61,105.33,117.15,188.26,28275,12205425,397.00,236.64,25.77,0,39.93,38.37,24.63,24.39
envoy(v1.32.2),concurrency_baseline_short_1x,concurrency,baseline,30,5000,4,true,5916.14,587.60,351.96,2000,492.45,611.60,967.56,1900,177987,46147830,1495.04,1540,860,7706,82.22,76.09,184.70,174.01
envoy(v1.32.2),concurrency_baseline_short_2x,concurrency,baseline,30,10000,4,true,5829.63,1250,266.02,2000,1210,1420,1640,1910,175352,45151683,1464.32,1760,1200,21493,89.04,75.75,328.60,298.76
envoy(v1.32.2),latency_baseline_extended_1x,latency,baseline,300,500,4,true,1194.28,418.42,58.79,1920,410.42,424.69,471.64,523.56,358366,147996017,481.66,300.41,175.53,46,44.24,37.77,43.89,42.87
envoy(v1.32.2),latency_baseline_short_1x,latency,baseline,30,500,4,true,1186.28,422.12,112.28,1920,407.98,419.31,488.10,823.67,35679,14732493,478.43,299.37,107.28,0,41.33,36.90,41.38,41.17
envoy(v1.32.2),latency_baseline_short_2x,latency,baseline,30,1000,4,true,1191.41,764.72,177.57,1760,813.59,836.04,877.43,948.47,35861,14805893,480.50,302.29,127.65,515,52.83,37.74,65.44,64.88
envoy(v1.32.2),throughput_baseline_extended_1x,throughput,baseline,300,100,4,true,1208.76,82.88,16.23,251.68,80.01,81.30,91.02,169.75,362736,149453537,486.37,303.71,60.11,0,39.94,38.05,25.86,25.58
envoy(v1.32.2),throughput_baseline_short_1x,throughput,baseline,30,100,4,true,1173.05,85.37,19.63,256.69,81.68,82.94,94.21,182.77,35253,14522778,472.02,294.75,54.52,0,38.56,36.77,24.88,24.65
envoy(v1.32.2),throughput_cpu-limited_short_1x,throughput,cpu-limited,30,100,4,true,1196.14,83.61,14.77,200.15,80.92,82.17,91.58,159.64,35940,14805893,481.29,300.70,61.25,0,38.48,37.17,24.65,24.41
envoy(v1.32.2),throughput_memory-limited_short_1x,throughput,memory-limited,30,100,4,true,1180.82,84.78,18.09,258.45,81.67,82.85,92.54,181.32,35490,14627635,475.14,297.40,71.12,0,38.33,36.56,24.84,24.42
haproxy(2.9.6-alpine),churn_baseline_short_1x,churn,baseline,30,100,4,false,646.70,190.92,186.84,1420,118.59,154.52,383.59,1070,19445,6962545,226.09,189.41,60.28,7,30.18,23.36,66.70,61.36
haproxy(2.9.6-alpine),churn_cpu-limited_short_1x,churn,cpu-limited,30,100,4,false,877.33,113.52,11.04,191.30,110.08,112.94,121.11,171.05,26383,9447670,306.72,220.38,39.20,0,29.78,28.50,12.31,12.09
haproxy(2.9.6-alpine),concurrency_baseline_short_1x,concurrency,baseline,30,5000,4,true,2889.99,250.27,258.21,1920,119.23,479.04,653.99,852.05,86893,22858957,742.50,813.20,1160,4176,51.84,29.44,93.38,84.44
haproxy(2.9.6-alpine),concurrency_baseline_short_2x,concurrency,baseline,30,10000,4,true,4426.42,205.50,202.33,2000,198.08,271.31,321.32,1440,133176,31520195,1024,1180,1330,23086,52.34,37.28,193.20,178.05
haproxy(2.9.6-alpine),latency_baseline_extended_1x,latency,baseline,300,500,4,true,1331.91,375.54,63.97,2000,367.55,380.68,409.93,492.12,399663,135486505,440.93,334.84,152.97,26,23.83,20.67,20.57,19.15
haproxy(2.9.6-alpine),latency_baseline_short_1x,latency,baseline,30,500,4,true,1314.77,380.03,127.07,2000,369.79,384.37,454.96,875.67,39544,13400801,435.26,330.98,128.77,60,22.59,20.48,18.25,18.06
haproxy(2.9.6-alpine),latency_baseline_short_2x,latency,baseline,30,1000,4,true,1335.25,677.97,177.91,1800,727.64,752.51,771.03,840.24,40188,13621002,442.04,337.53,151.42,574,29.95,21.61,22.43,22.22
haproxy(2.9.6-alpine),throughput_baseline_extended_1x,throughput,baseline,300,100,4,true,1355.40,73.96,14.26,202.95,71.78,73.06,81.33,147.74,406707,137877258,448.71,340.39,43.15,0,22.03,21.20,14.98,14.61
haproxy(2.9.6-alpine),throughput_baseline_short_1x,throughput,baseline,30,100,4,true,1312.45,76.25,14.06,203.85,73.80,76.23,83.01,152.80,39413,13358858,434.49,329.78,55.65,0,21.55,20.79,13.23,12.17
haproxy(2.9.6-alpine),throughput_cpu-limited_short_1x,throughput,cpu-limited,30,100,4,true,1339.28,74.59,10.52,168.43,72.39,74.13,82.14,120.14,40214,13631488,443.37,336.37,43.59,0,21.72,21.00,11.94,11.60
haproxy(2.9.6-alpine),throughput_memory-limited_short_1x,throughput,memory-limited,30,100,4,true,1342.92,74.47,11.03,175.35,72.18,74.64,82.16,120.71,40325,13673431,444.58,337.38,57.73,0,21.83,21.10,16.73,15.13
nginx(1.26.2-alpine),churn_baseline_short_1x,churn,baseline,30,100,4,false,1029.86,96.97,22.50,333.95,94.08,96.24,107.87,188.11,30960,10684989,346.97,258.87,31.80,0,23.84,22.13,12.97,12.76
nginx(1.26.2-alpine),churn_cpu-limited_short_1x,churn,cpu-limited,30,100,4,false,1040.63,95.76,19.26,255.69,93.35,95.51,105.34,183.04,31276,10789847,350.60,261.33,29.80,0,20.69,20.14,12.70,12.49
nginx(1.26.2-alpine),concurrency_baseline_short_1x,concurrency,baseline,30,5000,4,true,1317.89,684.70,168.68,2000,721.80,741.68,778.42,1000,39630,13872660,450.45,344.04,301.62,593,41.30,21.39,99.88,97.31
nginx(1.26.2-alpine),concurrency_baseline_short_2x,concurrency,baseline,30,10000,4,true,561.26,863.60,299.39,1990,875.75,1040,1250,1750,16881,5903483,191.74,144.42,86.70,2203,42.66,24.47,190.00,179.42
nginx(1.26.2-alpine),latency_baseline_extended_1x,latency,baseline,300,500,4,true,1307.16,382.43,66.43,1790,375.19,390.47,417.37,515.54,392279,137300541,446.78,328.96,159.08,47,21.38,19.02,19.04,18.82
nginx(1.26.2-alpine),latency_baseline_short_1x,latency,baseline,30,500,4,true,1324.71,378.20,124.04,1940,366.32,381.75,458.24,843.11,39854,13946061,452.78,333.62,116.38,31,23.66,21.81,19.03,18.83
nginx(1.26.2-alpine),latency_baseline_short_2x,latency,baseline,30,1000,4,true,1318.79,688.60,181.10,1940,734.31,763.02,786.96,889.96,39690,13893632,450.76,332.94,166.33,530,27.82,19.82,27.21,26.92
nginx(1.26.2-alpine),throughput_baseline_extended_1x,throughput,baseline,300,100,4,true,1348.97,74.55,17.91,255.34,71.97,73.04,81.99,172.02,404755,141662618,461.07,338.84,52.90,0,20.76,19.84,12.77,12.52
nginx(1.26.2-alpine),throughput_baseline_short_1x,throughput,baseline,30,100,4,true,1344.16,74.91,20.12,235.92,72.09,73.15,82.42,182.14,40378,14134804,459.43,338.47,86.50,0,21.96,20.86,12.75,12.48
nginx(1.26.2-alpine),throughput_cpu-limited_short_1x,throughput,cpu-limited,30,100,4,true,1354.33,74.08,16.82,195.94,71.74,72.88,81.08,161.27,40667,14229176,462.90,340.34,65.39,0,21.60,19.87,12.72,12.47
nginx(1.26.2-alpine),throughput_memory-limited_short_1x,throughput,memory-limited,30,100,4,true,1363.14,73.52,15.87,193.49,71.18,71.99,80.66,150.35,40961,14334034,465.92,342.79,87.77,0,20.54,19.83,12.72,12.48
pavis(bench-20251226),churn_baseline_short_1x,churn,baseline,30,100,4,false,731.84,143.30,69.25,685.08,124.67,131.88,163.32,562.67,22027,9542042,309.46,190.89,42.02,0,39.75,34.75,428.70,407.62
pavis(bench-20251226),churn_cpu-limited_short_1x,churn,cpu-limited,30,100,4,false,764.50,130.24,13.93,212.99,126.56,130.62,138.46,197.35,23004,9961472,323.27,192.08,46.88,0,36.11,34.42,12.91,12.22
pavis(bench-20251226),concurrency_baseline_short_1x,concurrency,baseline,30,5000,4,true,964.85,961.89,166.15,2000,954.72,999.56,1060,1570,29043,11911823,386.32,248.60,159.10,2042,56.25,33.94,439.10,399.38
pavis(bench-20251226),concurrency_baseline_short_2x,concurrency,baseline,30,10000,4,true,885.85,922.70,228.57,2000,949.17,990.44,1060,1840,26611,10863247,353.30,232.77,123.89,6741,50.26,39.11,511.90,452.63
pavis(bench-20251226),latency_baseline_extended_1x,latency,baseline,300,500,4,true,1066.04,468.60,53.84,1300,461.37,473.92,522.38,576.63,319910,131166372,426.83,267.86,81.40,0,40.44,32.01,51.60,49.96
pavis(bench-20251226),latency_baseline_short_1x,latency,baseline,30,500,4,true,1033.75,477.19,104.13,2000,470.45,485.24,560.40,606.21,31104,12750684,413.90,260.99,127.46,52,39.85,32.04,41.47,41.18
pavis(bench-20251226),latency_baseline_short_2x,latency,baseline,30,1000,4,true,1017.06,893.54,200.28,2000,945.59,978.88,1020,1130,30612,12551455,407.22,256.90,93.67,487,48.10,33.34,81.33,80.78
pavis(bench-20251226),throughput_baseline_extended_1x,throughput,baseline,300,100,4,true,1074.64,93.07,14.79,272.18,90.12,91.91,101.35,165.98,322445,132204462,430.28,269.81,31.09,0,34.14,32.58,11.81,11.57
